Postcode,A,B,C,D,E,F,G,H
DG10 9PG,1,0,0,4,4,1,1,0
DG10 9PH,0,0,1,3,1,0,0,0
DG10 9PJ,0,1,2,4,2,1,0,0
DG10 9PL,0,0,1,0,0,1,0,0
DG10 9PN,0,0,1,2,0,0,0,0
DG10 9PP,0,0,3,6,2,0,0,0
DG10 9PQ,0,1,0,1,1,0,0,0
DG10 9PR,0,0,2,2,0,0,0,0
DG10 9PS,0,0,0,5,4,0,0,0
DG10 9PT,0,0,1,0,0,1,0,0
DG10 9PU,0,0,0,0,1,0,1,0
DG10 9PW,0,0,2,1,1,0,0,0
DG10 9PX,0,0,1,1,1,1,0,0
DG10 9PY,10,4,2,0,0,0,1,0
DG10 9PZ,0,0,1,1,1,0,0,0
DG10 9QA,0,0,1,2,1,0,0,0
DG10 9QB,1,0,0,0,1,0,1,0
DG10 9QF,0,0,0,0,0,0,0,0
DG10 9QG,0,0,0,2,0,6,3,0
DG10 9QH,0,0,54,0,0,0,0,0
DG10 9QJ,0,0,6,2,7,13,18,0
DG1 1NQ,0,0,0,2,0,0,2,0
DG1 1NR,0,0,1,7,0,2,1,0
DG1 1NS,0,16,0,1,0,0,0,0
DG1 1NT,0,17,1,1,0,2,0,0
DG1 1NW,0,0,0,0,0,0,0,0
DG1 1NY,0,0,0,4,8,4,1,0
DG1 1NZ,0,0,0,0,0,0,0,0
DG1 1PA,0,0,0,3,8,11,10,0
DG1 1PB,0,0,2,2,14,2,1,0
DG1 1PD,0,0,0,13,0,0,0,0
DG1 1PE,0,0,3,5,3,0,0,0
DG1 1PF,0,0,9,4,1,0,0,0
DG1 1PG,0,0,2,4,2,0,9,0
DG1 1PJ,8,0,0,0,1,0,0,0
DG1 1PL,0,0,2,2,5,2,0,0
DG1 1PP,0,0,1,0,16,6,2,0
DG1 1PW,0,0,0,0,0,0,0,0
DG1 1PX,0,0,0,0,0,0,0,0
DG1 1PZ,0,0,0,0,0,0,0,0
DG1 1QA,0,0,0,0,0,0,0,0
DG1 1QB,0,0,0,0,0,0,0,0
DG1 1QD,0,0,0,0,0,0,0,0
DG1 1QE,0,0,0,2,1,0,0,0
DG1 1QF,0,0,4,3,5,1,2,0
DG1 1QG,0,0,3,1,8,2,0,0
DG1 1QH,0,0,1,0,1,0,0,0
DG1 1QJ,0,18,2,0,0,0,0,0
DG1 1QL,0,36,1,0,0,0,0,0
DG1 1QN,0,34,3,0,0,0,0,0
DG1 1QP,0,2,0,0,0,0,0,0
DG1 1QQ,0,16,0,0,0,0,0,0
DG1 1QR,0,0,0,0,1,1,0,0
DG1 1QS,0,0,0,0,0,0,0,0
DG1 1QU,0,0,0,0,0,10,4,0
DG1 1QW,0,34,1,0,0,0,0,0
DG1 1QX,0,0,2,0,0,0,2,0
DG1 1QY,0,0,0,1,0,0,0,0
DG1 1QZ,0,0,1,0,1,0,1,0
DG1 1RA,0,0,0,0,3,9,1,0
DG1 1RB,0,1,4,1,1,0,0,0
DG1 1RD,0,1,0,2,2,0,0,0
DG1 1RE,0,0,0,0,1,1,1,0
DG1 1RF,0,0,1,3,0,0,1,0
DG1 1RG,0,0,0,0,2,0,0,0
DG1 1RH,0,16,1,0,0,0,0,0
DG1 1RJ,0,8,0,0,0,0,0,0
DG1 1RL,3,0,0,3,1,1,0,0
DG1 1RN,0,0,0,0,0,10,2,0
DG1 1RP,0,0,0,3,1,37,11,0
DG1 1RQ,0,14,16,0,1,0,3,0
DG1 1RR,0,0,0,0,0,20,15,0
DG1 1RS,0,0,0,0,1,0,0,0
DG1 1RT,0,4,0,2,0,2,0,0
DG1 1RU,0,4,0,0,1,0,0,0
DG1 1RX,0,0,6,1,0,0,0,0
DG1 1RY,0,0,7,5,3,0,0,0
DG1 1RZ,0,0,0,1,4,0,0,0
DG1 1SA,0,1,0,2,9,9,2,0
DG1 1SD,0,0,1,2,4,0,0,0
DG1 1SE,0,0,0,1,2,2,2,0
DG1 1SF,0,14,16,0,0,0,1,0
DG1 1SG,9,3,13,1,0,1,3,0
DG1 1SH,0,0,0,0,2,9,3,0
DG1 1SJ,0,5,1,0,2,0,0,0
DG1 1SL,0,1,1,1,5,5,7,0
DG1 1SP,0,9,1,0,0,0,1,0
DG1 1SQ,0,0,0,2,7,2,0,0
DG1 1SR,0,5,0,0,0,1,0,0
DG1 1SS,7,4,1,0,4,0,1,0
DG1 1ST,1,0,7,8,8,3,2,0
DG1 1SU,0,0,0,1,1,0,0,0
DG1 1SW,0,13,0,0,2,1,0,0
DG1 1SX,0,0,2,3,1,3,2,0
DG1 1SY,0,3,1,4,6,5,2,0
DG1 1SZ,0,0,0,1,0,0,0,0
DG1 1TA,0,0,1,6,2,2,1,0
DG1 1TB,0,0,1,1,0,2,1,0
DG1 1TD,1,6,2,3,1,2,0,0
DG1 1TE,0,2,3,3,6,1,1,0
DG1 1TF,0,0,1,1,1,0,0,0
DG1 1TG,1,1,1,0,0,0,0,0
DG1 1TH,0,6,0,0,0,0,0,0
DG1 1TN,0,2,36,0,1,1,16,0
DG1 1TP,0,0,0,0,2,1,0,0
DG1 1TQ,0,18,0,0,0,0,0,0
DG1 1TR,0,0,0,0,0,0,0,0
DG1 1TS,0,0,0,10,12,10,2,0
DG1 1TT,0,0,0,1,0,0,0,0
DG1 1TU,0,10,0,2,0,0,0,0
DG1 1TW,0,0,48,0,0,0,4,0
DG1 1TX,0,8,4,0,0,0,5,0
DG1 1TY,0,0,6,0,0,0,0,0
DG1 1TZ,0,0,2,1,3,1,1,0
DG1 1UA,0,0,4,0,0,0,0,0
DG1 1UB,0,0,2,1,0,0,4,0
DG1 1UD,0,0,16,16,0,0,0,0
DG1 1UF,0,0,0,0,0,0,0,0
DG1 1UG,0,0,6,10,1,0,0,0
DG1 1UH,0,12,0,0,0,0,0,0
DG1 1UJ,0,33,0,0,0,0,4,0
DG1 1UL,8,36,17,0,0,0,0,0
DG1 1UN,4,19,0,0,0,0,0,0
DG1 1UP,8,31,1,0,0,0,4,0
DG1 1UQ,4,46,3,0,0,0,10,0
DG1 1UR,0,10,4,0,0,0,10,0
DG1 1US,0,18,2,0,0,0,0,0
DG1 1UT,4,3,0,0,0,0,0,0
DG1 1UU,0,26,0,0,0,0,0,0
DG1 1UW,0,52,0,0,1,0,12,0
DG1 1UX,0,0,0,0,0,0,0,0
DG1 1UY,0,17,2,0,0,0,5,0
DG1 1UZ,4,22,0,0,0,0,7,0
DG1 1WD,0,0,0,0,0,2,0,0
DG1 1XA,0,20,2,0,0,0,12,0
DG1 1XB,0,22,1,1,0,0,4,0
DG1 1XD,0,6,2,0,0,0,0,0
DG1 1XE,0,39,0,0,0,0,0,0
DG1 1XF,4,55,3,0,0,0,8,0
DG1 1XG,4,11,1,0,0,0,0,0
DG1 1XH,0,8,0,0,0,0,0,0
DG1 1XJ,0,23,1,1,0,1,0,0
DG1 1XL,0,0,0,0,0,0,0,0
DG1 1XN,0,6,0,0,0,0,0,0
DG1 1XP,24,2,0,0,0,0,0,0
DG1 1XQ,0,22,1,0,0,0,7,0
DG1 1XR,24,0,0,0,0,0,0,0
DG1 1XS,0,9,0,0,0,0,0,0
DG1 1XW,20,30,0,0,0,0,0,0
DG1 2AA,0,0,0,0,0,0,0,0
DG1 2AB,0,0,1,0,0,0,0,0
DG1 2AD,0,0,0,0,0,0,0,0
DG1 2AG,0,0,0,0,0,0,0,0
DG1 2AH,0,2,0,1,0,0,0,0
DG1 2AL,0,0,0,0,0,0,0,0
DG1 2AN,0,0,0,0,0,0,0,0
DG1 2AP,0,0,0,0,0,0,0,0
DG1 2AT,0,0,2,2,0,0,0,0
DG1 2AW,0,0,0,0,0,0,0,0
DG1 2AX,0,0,1,0,0,0,0,0
DG1 2BA,0,0,0,0,0,0,0,0
DG1 2BD,0,0,0,0,0,0,0,0
DG1 2BG,0,0,0,0,0,0,0,0
DG1 2BH,0,0,0,0,0,0,0,0
DG1 2BJ,0,0,0,0,0,0,0,0
DG1 2BN,0,0,0,0,0,0,0,0
DG1 2BQ,0,0,0,0,1,0,0,0
DG1 2BS,0,0,0,0,0,0,0,0
DG1 2BT,1,0,0,0,0,0,0,0
DG1 2BU,18,5,0,0,0,0,0,0
DG1 2BY,3,8,0,0,0,0,0,0
DG1 2DA,4,9,1,0,0,0,0,0
DG1 2DB,0,0,0,0,0,0,0,0
DG1 2DD,0,0,0,0,0,0,0,0
DG1 2DE,0,0,0,0,0,0,0,0
DG1 2DF,0,0,0,0,0,0,0,0
DG1 2DL,0,0,0,0,0,0,0,0
DG1 2DN,0,0,0,0,0,0,0,0
DG1 2DP,0,0,0,0,0,0,0,0
DG1 2DR,0,0,0,0,0,0,0,0
DG1 2DS,0,0,4,4,0,0,0,0
DG1 2DT,21,0,0,0,0,0,0,0
DG1 2DU,0,0,0,4,0,0,0,0
DG1 2DX,0,7,1,6,0,0,0,0
DG1 2DY,0,0,4,0,0,0,0,0
DG1 2DZ,2,9,0,3,0,0,0,0
DG1 2EB,10,0,0,0,0,0,0,0
DG1 2ED,20,0,0,0,0,0,0,0
DG1 2EE,11,1,0,0,0,0,0,0
DG1 2EF,8,2,0,0,0,0,0,0
DG1 2EJ,0,34,0,0,0,0,0,0
DG1 2EL,0,4,0,0,0,0,0,0
DG1 2EN,14,10,0,0,0,0,0,0
DG1 2EP,5,13,2,0,1,0,0,0
DG1 2EQ,0,1,2,14,3,1,2,0
DG1 2ER,2,0,0,0,0,0,0,0
DG1 2ET,0,31,0,1,0,1,0,0
DG1 2EU,0,17,1,0,1,0,0,0
DG1 2EW,4,0,0,0,0,0,0,0
DG1 2EX,0,4,0,7,3,0,0,0
DG1 2EY,0,14,0,0,0,0,0,0
DG1 2EZ,1,17,3,0,0,0,0,0
DG1 2GB,10,0,10,0,0,0,0,0
DG1 2HA,0,0,0,3,0,0,0,0
DG1 2HB,16,6,0,0,0,0,0,0
DG1 2HD,16,13,0,0,0,0,0,0
DG1 2HE,12,2,0,0,0,0,0,0
DG1 2HF,5,1,0,0,0,0,0,0
DG1 2HG,7,15,0,0,0,0,0,0
DG1 2HH,32,0,0,0,0,0,10,0
DG1 2HJ,11,10,0,0,0,0,1,0
DG1 2HL,12,0,0,0,0,0,0,0
DG1 2HN,0,20,0,0,0,0,0,0
DG1 2HP,0,0,0,0,0,0,0,0
DG1 2HQ,0,13,0,0,0,0,0,0
DG1 2HR,0,0,0,0,0,0,0,0
DG1 2HS,0,0,0,0,0,0,0,0
DG1 2HT,0,0,0,0,0,0,0,0
DG1 2HU,0,16,4,0,0,0,0,0
DG1 2JA,0,1,0,0,0,0,0,0
DG1 2JB,0,35,0,0,0,0,0,0
DG1 2JD,0,0,0,0,0,0,0,0
DG1 2JE,0,0,0,0,0,0,0,0
DG1 2JF,5,4,0,0,0,0,0,0
DG1 2JG,4,4,0,0,0,0,0,0
DG1 2JH,0,2,0,0,0,0,0,0
DG1 2JJ,0,0,0,0,0,0,0,0
DG1 2JL,0,0,17,0,0,1,1,0
DG1 2JN,2,4,4,0,0,0,0,0
DG1 2JP,0,21,8,1,0,0,0,0
DG1 2JQ,34,4,0,0,0,0,0,0
DG1 2JR,0,0,0,0,0,0,0,0
DG1 2JS,0,5,13,0,0,0,0,0
DG1 2JT,2,7,10,1,0,0,0,0
DG1 2JU,0,0,4,0,0,0,0,0
DG1 2JW,3,4,4,0,0,0,0,0
DG1 2JX,0,2,0,5,0,0,0,0
DG1 2JY,0,0,0,0,0,0,0,0
DG1 2JZ,0,0,0,3,0,0,0,0
DG1 2LA,4,29,1,1,0,0,0,0
DG1 2LB,8,0,0,0,0,0,0,0
DG1 2LE,16,0,0,0,0,0,0,0
DG1 2LF,4,21,2,1,0,0,0,0
DG1 2LH,0,20,0,4,6,0,0,0
DG1 2LJ,0,0,5,0,0,0,0,0
DG1 2LL,0,18,1,2,0,0,1,0
DG1 2LP,0,34,3,0,0,0,0,0
DG1 2LQ,4,4,0,2,0,1,2,0
DG1 2LR,1,20,2,0,0,0,1,0
DG1 2LS,10,32,7,0,0,0,0,0
DG1 2LT,0,24,0,0,0,0,0,0
DG1 2LU,0,45,11,29,0,0,0,0
DG1 2LX,0,0,8,2,0,0,0,0
DG1 2LZ,0,0,0,0,10,0,0,0
DG1 2NJ,3,4,0,0,0,0,0,0
DG1 2NN,1,1,0,1,0,0,0,0
DG1 2NP,3,3,0,1,0,0,0,0
DG1 2NS,0,0,0,0,0,0,0,0
DG1 2NT,0,0,0,0,0,0,0,0
DG1 2NU,0,0,0,0,0,0,0,0
DG1 2NX,0,0,0,1,0,0,0,0
DG1 2NZ,0,0,0,0,0,0,0,0
DG1 2PA,2,5,1,0,0,0,0,0
DG1 2PB,5,6,0,0,0,0,0,0
DG1 2PE,0,0,0,0,0,0,0,0
DG1 2PF,0,0,0,0,0,0,0,0
DG1 2PG,0,0,0,0,0,0,0,0
DG1 2PH,0,0,0,0,0,0,0,0
DG1 2PJ,0,3,1,0,0,1,0,0
DG1 2PL,0,3,0,0,0,0,0,0
DG1 2PN,6,0,0,0,0,0,0,0
DG1 2PP,32,3,0,0,0,0,0,0
DG1 2PQ,2,6,0,1,0,0,0,0
DG1 2PR,8,7,0,0,0,0,0,0
DG1 2PS,25,4,0,0,0,0,0,0
DG1 2PW,0,0,0,0,0,0,0,0
DG1 2PX,0,7,0,0,0,0,0,0
DG1 2PY,0,0,3,0,0,0,1,0
DG1 2PZ,13,27,0,0,0,0,0,0
DG1 2QB,0,1,2,0,0,0,0,0
DG1 2QD,0,0,0,0,0,0,0,0
DG1 2QE,0,0,0,0,0,0,0,0
DG1 2QF,4,6,0,1,0,0,0,0
DG1 2QG,0,4,0,0,0,0,0,0
DG1 2QH,0,2,0,0,0,0,0,0
DG1 2QL,3,2,1,0,0,0,0,0
DG1 2QN,24,0,0,0,0,0,0,0
DG1 2QP,30,27,2,0,0,0,0,0
DG1 2QQ,51,0,0,0,0,0,0,0
DG1 2QR,0,18,0,0,0,0,0,0
DG1 2QS,0,9,0,0,0,0,0,0
DG1 2QT,2,1,0,0,0,0,0,0
DG1 2RA,0,0,0,0,0,0,0,0
DG1 2RB,0,0,14,2,10,0,0,0
DG1 2RE,2,0,0,0,0,0,0,0
DG1 2RF,3,0,0,0,0,0,0,0
DG1 2RL,14,2,0,0,0,0,0,0
DG1 2RN,1,0,0,0,0,0,0,0
DG1 2RP,4,4,1,0,0,0,0,0
DG1 2RQ,18,5,0,1,0,0,0,0
DG1 2RR,0,1,0,0,0,0,0,0
DG1 2RS,0,1,0,0,0,0,0,0
DG1 2RT,0,0,0,0,0,0,0,0
DG1 2RU,0,1,0,0,0,0,0,0
DG1 2RW,1,2,1,0,0,0,0,0
DG1 2RX,6,3,2,1,0,0,3,0
DG1 2RY,0,0,0,1,1,0,0,0
DG1 2RZ,0,3,3,1,0,0,6,0
DG1 2SA,0,0,0,0,0,0,0,0
DG1 2SD,0,0,0,0,0,0,0,0
DG1 2SG,18,0,8,0,0,0,0,0
DG1 2SH,0,0,0,0,0,0,0,0
DG1 2YA,0,0,0,0,0,0,0,0
DG1 3AB,0,12,0,0,0,0,0,0
DG1 3AD,2,2,1,4,0,1,6,0
DG1 3AE,0,2,2,4,0,0,0,0
DG1 3AG,0,0,16,1,6,2,0,0
DG1 3AH,0,0,0,0,1,0,0,0
DG1 3AJ,0,0,12,16,10,0,0,0
DG1 3AL,0,0,4,10,5,2,0,0
DG1 3AN,0,7,0,0,0,0,0,0
DG1 3AP,0,0,1,0,11,0,0,0
DG1 3AQ,0,0,0,11,15,5,1,0
DG1 3AR,0,0,0,0,0,0,1,0
DG1 3AS,0,0,0,0,6,0,0,0
DG1 3AT,0,1,1,0,3,0,0,0
DG1 3AU,0,0,0,0,3,0,0,0
DG1 3AW,0,0,0,0,0,0,0,0
DG1 3AX,0,0,0,3,8,0,2,0
DG1 3AY,1,27,3,1,2,0,0,0
DG1 3AZ,0,0,0,1,1,0,0,0
DG1 3BA,19,1,0,0,0,0,0,0
DG1 3BB,0,8,0,0,0,0,0,0
DG1 3BD,11,12,7,0,0,0,0,0
DG1 3BE,0,0,13,4,0,0,0,0
DG1 3BH,22,18,0,0,0,0,0,0
DG1 3BJ,0,1,1,0,0,0,0,0
DG1 3BL,0,20,7,0,1,0,0,0
DG1 3BN,1,0,1,11,6,3,1,0
DG1 3BP,0,1,6,1,2,2,0,0
DG1 3BQ,12,3,0,0,0,0,0,0
DG1 3BW,2,11,5,2,4,0,2,0
DG1 3BX,0,0,4,2,3,0,0,0
DG1 3BY,0,0,10,8,1,0,0,0
DG1 3BZ,0,4,0,1,0,0,0,0
DG1 3DA,8,4,0,0,0,0,0,0
DG1 3DB,0,8,2,1,1,0,3,0
DG1 3DD,0,1,0,5,4,1,1,0
DG1 3DF,0,0,18,0,0,0,0,0
DG1 3DG,0,0,1,2,0,0,0,0
DG1 3DJ,0,2,0,1,1,0,0,0
DG1 3DL,0,9,0,0,0,0,0,0
DG1 3DN,0,26,0,0,0,0,0,0
DG1 3DP,28,2,0,0,0,0,0,0
DG1 3DQ,0,0,2,0,0,0,0,0
DG1 3DR,0,5,0,0,0,0,0,0
DG1 3DS,2,15,9,1,0,0,0,0
DG1 3DT,4,0,0,0,0,0,0,0
DG1 3DU,0,0,0,4,17,0,1,0
DG1 3DW,0,3,0,0,0,0,0,0
DG1 3DY,0,0,0,0,12,2,0,0
DG1 3EB,0,0,0,2,9,1,0,0
DG1 3ED,0,0,0,0,0,2,0,0
DG1 3EE,0,1,5,0,0,0,0,0
DG1 3EF,0,0,0,6,14,6,1,0
DG1 3EG,1,2,2,2,3,1,0,0
DG1 3EJ,0,10,5,2,3,0,0,0
DG1 3EN,2,0,0,0,1,0,0,0
DG1 3EP,24,0,0,0,0,0,0,0
DG1 3EQ,0,5,3,2,1,1,0,0
DG1 3ES,0,0,0,0,0,0,0,0
DG1 3ET,0,0,0,0,1,3,1,0
DG1 3EU,0,0,0,0,0,0,0,0
DG1 3EW,0,5,4,8,0,0,0,0
DG1 3EX,0,0,0,0,0,0,0,0
DG1 3EY,2,12,6,4,0,1,1,0
DG1 3EZ,1,9,0,5,0,0,0,0
DG1 3FB,0,0,0,0,27,8,0,0
DG1 3FD,0,0,2,3,9,9,0,0
DG1 3FE,0,0,7,7,1,0,0,0
DG1 3FF,0,0,0,5,5,3,0,0
DG1 3FG,0,0,0,2,4,4,0,0
DG1 3FL,0,0,0,2,1,0,2,0
DG1 3FN,0,0,4,10,3,2,0,0
DG1 3FP,0,0,0,1,0,3,0,0
DG1 3FQ,0,0,0,0,1,9,1,0
DG1 3FS,0,0,0,6,2,7,2,0
DG1 3FT,0,1,0,3,9,13,0,0
DG1 3FW,0,1,0,0,2,4,0,0
DG1 3FX,0,4,28,4,0,0,0,0
DG1 3FY,0,0,0,5,7,15,0,0
DG1 3FZ,0,0,0,3,5,5,0,0
DG1 3GA,0,0,0,0,0,11,0,0
DG1 3GB,0,0,0,0,0,6,3,0
DG1 3GD,0,0,0,18,0,0,0,0
DG1 3GE,0,0,0,0,0,9,2,0
DG1 3GG,0,0,0,4,15,11,0,0
DG1 3GR,0,0,0,0,3,5,1,0
DG1 3GS,0,0,0,3,5,4,0,0
DG1 3GT,0,0,0,9,8,6,0,0
DG1 3GU,0,0,0,6,4,4,0,0
DG1 3HA,4,0,0,26,0,0,1,0
DG1 3HB,3,5,8,2,5,4,0,0
DG1 3HE,0,0,9,15,12,1,1,0
DG1 3HF,0,0,2,8,2,0,0,0
DG1 3HG,0,0,0,3,5,0,0,0
DG1 3HH,0,0,0,3,8,1,0,0
DG1 3HJ,0,0,0,0,0,0,0,0
DG1 3HN,0,0,0,4,3,0,0,0
DG1 3HP,0,0,0,2,1,0,0,0
DG1 3HQ,0,0,0,1,8,1,0,0
DG1 3HR,0,0,0,6,12,0,0,0
DG1 3HS,0,2,0,3,9,0,0,0
DG1 3HT,0,0,0,4,5,1,0,0
DG1 3HU,0,0,0,2,8,0,0,0
DG1 3HW,0,0,0,5,7,0,0,0
DG1 3HX,0,0,0,0,2,0,0,0
DG1 3HZ,0,16,0,0,0,0,0,0
DG1 3JA,0,0,0,0,0,0,0,0
DG1 3JB,0,0,1,16,3,0,0,0
DG1 3JD,0,0,0,7,1,0,0,0
DG1 3JE,0,2,2,2,5,2,3,0
DG1 3JF,30,0,0,0,0,0,0,0
DG1 3JG,0,0,0,14,2,0,0,0
DG1 3JH,1,3,6,4,0,0,1,0
DG1 3JJ,0,14,0,0,0,0,0,0
DG1 3JN,0,0,0,0,0,0,0,0
DG1 3JP,0,0,0,1,7,4,2,0
DG1 3JQ,1,2,0,0,0,0,0,0
DG1 3JR,0,0,0,2,1,0,0,0
DG1 3JS,0,0,0,0,4,4,0,0
DG1 3JU,0,2,1,3,10,3,0,0
DG1 3JX,1,3,3,2,2,1,0,0
DG1 3JY,0,0,0,1,5,2,2,0
DG1 3JZ,0,1,1,1,2,1,0,0
DG1 3LB,0,0,0,0,2,10,2,0
DG1 3LD,0,0,0,0,4,2,0,0
DG1 3LG,0,1,1,1,2,0,0,0
DG1 3LH,0,0,1,0,2,2,2,0
DG1 3LJ,0,0,0,1,1,0,0,0
DG1 3LL,0,0,4,5,3,1,0,0
DG1 3LN,1,0,1,2,3,8,1,0
DG1 3LP,0,3,0,0,0,0,1,0
DG1 3LQ,0,10,0,0,0,0,4,0
DG1 3LR,0,0,0,2,5,1,1,0
DG1 3LS,0,1,1,0,3,1,1,0
DG1 3LT,0,0,0,1,0,2,0,0
DG1 3LU,0,0,0,0,3,3,0,0
DG1 3LW,0,0,0,0,4,6,0,0
DG1 3LX,0,1,0,0,0,0,0,0
DG1 3LY,2,3,5,0,6,2,3,0
DG1 3LZ,0,26,0,0,0,0,3,0
DG1 3NA,2,4,0,0,0,0,1,0
DG1 3NB,0,1,1,1,1,4,3,0
DG1 3ND,0,0,0,1,1,2,0,0
DG1 3NE,0,0,5,5,1,2,0,0
DG1 3NF,0,3,2,2,1,2,0,0
DG1 3NG,0,0,0,0,0,0,1,0
DG1 3NH,0,0,0,0,1,2,0,0
DG1 3NJ,0,0,0,5,4,0,0,0
DG1 3NL,0,0,0,1,3,0,0,0
DG1 3NN,0,1,0,1,3,1,0,0
DG1 3NP,0,6,0,0,0,0,0,0
DG1 3NQ,0,4,0,0,4,0,3,0
DG1 3NR,0,0,0,3,1,0,0,0
DG1 3NS,0,0,0,9,2,0,0,0
DG1 3NT,0,0,0,0,1,0,0,0
DG1 3NU,0,0,0,0,0,0,0,0
DG1 3NW,0,0,4,14,1,0,0,0
DG1 3NX,0,0,0,0,0,0,0,0
DG1 3NY,0,0,0,0,0,0,0,0
DG1 3NZ,0,4,1,0,2,0,1,0
DG1 3PA,0,0,1,1,0,0,0,0
