Postcode,Datazone2011,Datazone Population (2011),IZ2011 Code,IZ2011 Name,Local Authority Code,Local Authority Name,Community Health Partnership (CHP) Code,Community Health Partnership (CHP) Name,Health Board (HB) Code,Health Board (HB) Name,Locality,LHP Code
DG1 1LN,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LP,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LR,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LS,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LT,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LU,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LW,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LX,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LZ,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NA,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NE,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NF,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NH,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NJ,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NL,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NN,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NP,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG10 9NT,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9NU,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9NW,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9NX,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PA,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PB,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PD,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PE,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PF,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PG,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PH,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PJ,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PL,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PN,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PP,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PQ,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PR,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PS,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PT,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PU,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PW,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PX,S01007645,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PY,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9PZ,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QA,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QB,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QF,S01007643,707,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QG,S01007644,707,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QH,S01007641,1035,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG10 9QJ,S01007644,707,S02001437,Moffat,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Annandale & Eskdale,8
DG1 1NQ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NR,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NS,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NT,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NW,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NY,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1NZ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PA,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PB,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PD,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PE,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PF,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PG,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PJ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PL,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PP,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PW,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PX,S01007615,974,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1PZ,S01007610,588,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QA,S01007622,719,S02001433,Heathhall,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QB,S01007566,819,S02001421,Mid Nithsdale,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QD,S01007617,496,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QE,S01007620,557,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QF,S01007617,496,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QG,S01007617,496,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QH,S01007617,496,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1QJ,S01007617,496,S02001432,Locharbriggs,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
